Country Name,Indicator Name,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Immunization, DPT (% of children ages 12-23 months)",,98,98,98,98,98,97,97,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Children (ages 0-14) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of HIV, female (% ages 15-24)",,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"People using safely managed drinking water services, rural (% of rural population)",,61.30851618,61.47317168,61.63800978,61.8030305,61.96823382,62.13361976,62.2991883,62.39400859,62.44982072,62.50552364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),,,,,70.3,,,,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",,16.8,16.8,16.9,16.8,16.8,16.2,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of HIV, total (% of population ages 15-49)",,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Probability of dying among adolescents ages 10-14 years (per 1,000)",,2.6,2.5,2.5,2.4,2.3,2.3,2.2,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Number of under-five deaths,,124345,118859,113521,109098,106189,104622,104163,104787,105531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
